date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-01-12,United Arab Emirates,Iraq,0,0,Friendly,Dubai,United Arab Emirates,FALSE
2021-01-18,Kuwait,Palestine,0,1,Friendly,Kuwait City,Kuwait,FALSE
2021-01-19,Dominican Republic,Puerto Rico,0,1,Friendly,Santo Domingo,Dominican Republic,FALSE
2021-01-22,Guatemala,Puerto Rico,1,0,Friendly,Guatemala City,Guatemala,FALSE
2021-01-25,Dominican Republic,Serbia,0,0,Friendly,Santo Domingo,Dominican Republic,FALSE
2021-01-27,Iraq,Kuwait,2,1,Friendly,Basra,Iraq,FALSE
2021-01-28,Panama,Serbia,0,0,Friendly,Panama City,Panama,FALSE
2021-01-31,United States,Trinidad and Tobago,7,0,Friendly,Orlando,United States,FALSE
2021-02-01,Jordan,Tajikistan,2,0,Friendly,Dubai,United Arab Emirates,TRUE
2021-02-05,Jordan,Tajikistan,0,1,Friendly,Dubai,United Arab Emirates,TRUE
2021-02-15,Jordan,Uzbekistan,0,2,Friendly,Dubai,United Arab Emirates,TRUE
2021-02-24,Guatemala,Nicaragua,1,0,Friendly,Guatemala City,Guatemala,FALSE
2021-03-13,Kenya,South Sudan,1,0,Friendly,Nairobi,Kenya,FALSE
2021-03-15,Kenya,Tanzania,2,1,Friendly,Nairobi,Kenya,FALSE
2021-03-17,Ethiopia,Malawi,4,0,Friendly,Bahir Dar,Ethiopia,FALSE
2021-03-20,Oman,Jordan,0,0,Friendly,Dubai,United Arab Emirates,TRUE
2021-03-24,Belarus,Honduras,1,1,Friendly,Zhodzina,Belarus,FALSE
2021-03-24,Jordan,Lebanon,1,0,Friendly,Dubai,United Arab Emirates,TRUE
2021-03-24,Kosovo,Lithuania,4,0,Friendly,Pristina,Kosovo,FALSE
2021-03-24,Qatar,Luxembourg,1,0,Friendly,Debrecen,Hungary,TRUE
2021-03-24,Suriname,Cayman Islands,3,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE
2021-03-24,Guatemala,Cuba,1,0,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE
2021-03-24,Dominican Republic,Dominica,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,FALSE
2021-03-24,Portugal,Azerbaijan,1,0,FIFA World Cup qualification,Turin,Italy,TRUE
2021-03-24,Serbia,Republic of Ireland,3,2,FIFA World Cup qualification,Belgrade,Serbia,FALSE
2021-03-24,France,Ukraine,1,1,FIFA World Cup qualification,Paris,France,FALSE
2021-03-24,Finland,Bosnia and Herzegovina,2,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
2021-03-24,Belgium,Wales,3,1,FIFA World Cup qualification,Leuven,Belgium,FALSE
2021-03-24,Estonia,Czech Republic,2,6,FIFA World Cup qualification,Lublin,Poland,TRUE
2021-03-24,Turkey,Netherlands,4,2,FIFA World Cup qualification,Istanbul,Turkey,FALSE
